2   O=C(N1[C@@H](CCC1)C(=O)NNC(=O)N)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]1NC(=O)CC1)Cc1[nH]cnc1)Cc1c2c([nH]c1)cccc2)CO)Cc1ccc(O)cc1)COC(C)(C)C)CC(C)C)CCCN=C(N)N	[NO NAME]
502   O([C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO[C@@]1(O[C@@H]([C@@H](O)[C@@H]1O)CO)CO)C[C@@]1(OC[C@@]2(OC[C@@]3(OC[C@@]4(OC[C@@]5(OC[C@@]6(OC[C@@]7(OC[C@@]8(OC[C@@]9(OC[C@@]%10(OC[C@@]%11(OC[C@@]%12(OC[C@@]%13(OC[C@]%14(O[C@@H]([C@@H](O)[C@@H]%14O)CO)OC[C@]%14(O[C@@H]([C@@H](O)[C@@H]%14O)CO)OC[C@]%14(O[C@@H]([C@@H](O)[C@@H]%14O)CO)OC[C@]%14(O[C@@H]([C@@H](O)[C@@H]%14O)CO)OC[C@]%14(O[C@@H]([C@@H](O)[C@@H]%14O)CO)O[C@H]%14O[C@@H]([C@@H](O)[C@H](O)[C@H]%14O)CO)O[C@@H]([C@@H](O)[C@@H]%13O)CO)O[C@@H]([C@@H](O)[C@@H]%12O)CO)O[C@@H]([C@@H](O)[C@@H]%11O)CO)O[C@@H]([C@@H](O)[C@@H]%10O)CO)O[C@@H]([C@@H](O)[C@@H]9O)CO)O[C@@H]([C@@H](O)[C@@H]8O)CO)O[C@@H]([C@@H](O)[C@@H]7O)CO)O[C@@H]([C@@H](O)[C@@H]6O)CO)O[C@@H]([C@@H](O)[C@@H]5O)CO)O[C@@H]([C@@H](O)[C@@H]4O)CO)O[C@@H]([C@@H](O)[C@@H]3O)CO)O[C@@H]([C@@H](O)[C@@H]2O)CO)O[C@@H]([C@@H](O)[C@@H]1O)CO	638

503   Clc1c(SC(CCc2ccc(Cl)cc2)Cn2ccnc2)c(Cl)ccc1	639

512   ClC(Cl)C(c1ccc(Cl)cc1)c1c(Cl)cccc1	648

517   [Mg+2].[O-]S(=O)(=O)[O-]	

520   Clc1cc(N2CCN(CC2)CCCn2nc3n(c2=O)cccc3)ccc1	656

